POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
217041480,80,7,14,1292,1183,99,86,10,5,1387,1253,121,76,15,10,1466,1170,88,67,11,18,1352,887,73,86,17,17,1069,343,25,62,14,4,440,90,19,31,11,11,152,30,13,17,6,8,70,11899,664,683,116,127,13485
297979799,0,0,0,24,36,0,0,0,0,36,34,0,0,0,0,35,34,0,0,0,0,35,12,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,194
299999499,3872,230,213,13467,6693,2195,4220,215,204,13522,6267,2248,4507,232,263,13516,5443,1834,4211,240,250,11974,4164,1383,3707,226,262,9740,1906,795,2019,214,139,5077,707,340,872,163,78,2149,326,189,453,240,86,1298,79049,16470,37324,2452,2182,137478
301011001,40,3,0,241,184,21,46,0,3,257,184,22,37,4,3,248,186,22,33,3,5,258,150,16,25,3,3,209,61,10,28,3,0,110,24,8,3,0,0,35,6,0,0,0,0,13,1987,192,330,37,19,2567
301011002,15,9,0,214,174,61,25,8,3,276,146,46,26,4,0,222,124,49,27,13,0,210,97,36,20,7,6,159,51,17,20,11,0,102,20,15,10,3,0,55,11,6,10,6,0,32,1624,324,196,69,8,2222
301011003,39,6,0,244,164,33,34,10,4,239,198,45,29,6,0,280,161,33,48,6,0,247,126,26,26,0,0,178,44,18,22,12,3,100,20,9,4,10,0,45,5,4,6,6,0,26,1830,278,278,60,8,2469
301011004,61,12,7,1069,828,153,87,18,0,1093,779,158,85,13,6,1047,678,165,96,15,4,954,521,130,75,16,0,742,240,62,41,12,3,360,62,28,23,9,4,131,15,8,8,6,0,39,9473,1031,712,137,46,11392
301011005,16,0,0,63,25,20,6,0,0,49,28,9,14,0,0,59,24,15,8,0,0,43,20,7,7,0,0,37,11,0,9,0,0,19,0,5,0,0,0,4,0,0,0,0,0,0,295,84,80,11,3,472
301011006,37,3,0,209,141,37,29,9,0,221,155,33,40,7,0,239,149,29,24,7,0,211,96,25,29,3,0,153,34,9,18,0,0,68,12,10,13,0,0,37,3,6,4,5,0,16,1483,234,277,50,12,2067
301021007,50,3,5,932,961,100,64,17,0,1151,942,125,75,15,9,1164,859,107,82,14,3,1064,632,83,60,20,5,797,227,63,36,16,0,344,71,28,18,9,0,130,17,13,8,10,4,51,8647,735,520,131,47,10078
301021008,13,6,0,159,144,21,25,6,0,192,126,32,27,0,0,182,100,28,32,0,0,160,82,21,19,10,0,131,29,23,14,6,0,65,9,3,11,7,0,31,3,5,0,0,0,11,1375,188,184,35,12,1798
301021009,47,10,0,284,206,53,49,16,3,322,175,52,36,8,0,272,182,46,49,11,0,290,121,56,31,12,0,222,43,14,17,10,0,88,13,14,10,0,0,37,0,5,4,3,0,18,2019,401,380,89,14,2908
301021011,19,12,3,257,228,37,35,5,0,311,197,24,12,6,0,245,135,25,16,9,0,190,97,25,24,7,0,154,27,9,8,4,0,49,7,6,4,0,0,20,4,8,3,4,0,15,1871,196,184,59,5,2319
301021012,43,3,0,269,220,48,50,8,0,324,220,40,50,12,0,323,176,48,29,9,0,266,127,29,31,17,0,211,58,21,23,5,0,108,18,7,9,9,0,43,4,3,7,0,0,23,1877,315,378,78,17,2665
301021013,46,5,0,348,302,44,38,6,0,397,283,54,49,3,0,394,279,36,42,10,0,368,228,25,48,9,0,314,72,21,22,7,0,123,30,7,10,0,0,45,14,5,3,0,0,27,3745,317,379,59,19,4511
301021550,8,3,7,76,66,11,13,7,0,92,62,4,7,4,0,89,53,7,16,0,0,75,59,5,19,6,5,92,28,6,9,3,0,47,12,6,3,7,0,16,0,0,4,6,0,12,588,67,103,27,12,806
301021551,15,0,0,69,72,8,31,5,0,119,83,14,25,4,0,126,100,15,37,3,4,162,81,10,44,12,6,148,32,11,21,8,0,69,9,13,12,3,3,35,7,3,9,7,0,26,629,87,215,48,31,1005
301031014,14,0,4,876,959,25,12,0,4,1007,887,29,13,0,0,929,770,25,18,0,3,822,472,21,10,0,0,507,169,8,3,0,0,183,28,7,0,0,0,39,3,0,0,0,0,10,7088,170,96,11,30,7398
301031015,29,0,0,208,188,48,33,4,0,271,149,38,23,9,0,213,125,31,30,5,0,191,86,27,23,0,6,142,43,17,15,0,0,74,10,11,5,0,3,28,0,3,0,0,4,12,1557,244,213,30,15,2056
