POW_SA2_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
506021309,360,482,263,556,307,732,96,339,48,3174
506021310,95,290,79,243,77,18,63,73,13,959
506021311,686,1098,420,570,619,209,144,260,80,4083
506031124,1344,5033,1210,1755,1482,536,570,1228,208,13362
506031125,177,303,199,218,156,288,78,192,35,1655
506031126,2385,1581,3119,460,2365,1021,3288,1976,329,16535
506031127,1155,1570,1081,1718,1189,2387,385,830,176,10488
506031128,157,473,205,319,176,326,70,245,29,1998
506031129,181,448,186,467,169,182,37,167,20,1871
506031130,2878,1784,4511,312,3326,937,3921,1802,387,19853
506031131,520,1105,683,769,519,626,126,427,63,4837
506041132,546,640,918,450,518,518,607,380,91,4665
506041133,348,946,469,1367,412,282,158,314,60,4362
506041134,245,690,286,920,312,376,149,377,45,3393
506041135,212,458,352,369,231,255,112,198,40,2219
506041136,1187,1105,2085,929,1128,890,1226,1156,167,9872
506041137,263,704,319,524,275,496,129,389,32,3134
506051138,917,848,1563,548,1094,548,1500,747,150,7918
506051139,270,273,336,354,274,210,307,331,37,2390
506051140,364,773,484,542,414,402,108,310,36,3434
506051141,339,627,330,426,296,112,162,296,40,2642
506061142,259,572,498,652,257,381,157,405,42,3230
506061143,315,244,381,158,242,78,248,391,39,2089
506061144,196,118,151,193,117,32,96,151,32,1080
506071145,349,1048,325,773,378,229,54,252,52,3460
506071146,245,728,221,659,234,263,57,262,47,2713
506071147,1086,2765,923,1131,1189,495,104,413,137,8248
507011148,202,605,338,574,220,224,92,286,38,2580
507011150,1637,965,2663,271,1628,484,1612,1177,195,10631
507011151,0,4,5,0,8,0,0,0,0,18
507011152,143,309,188,189,136,48,47,87,24,1170
507011153,57,193,84,129,89,110,26,95,15,793
507011154,217,430,313,398,183,192,98,229,29,2088
507011155,871,883,2746,88,778,54,551,585,132,6690
507011158,114,140,96,179,80,90,51,112,7,875
