POW_SA2_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
405021116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,41,43,14,13,3,136,64,54,46,41,66,24,4,294,0,3,0,4,0,0,0,21,352,428,503,522,476,150,20,2453
405021117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,41,71,96,65,23,324,51,29,18,11,27,17,0,158,0,0,0,5,0,0,6,8,230,265,296,352,399,200,56,1808
405021118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,37,51,71,55,14,259,29,7,15,13,24,7,5,109,5,0,0,0,4,4,0,17,141,214,214,295,333,151,42,1386
405021119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,8,19,32,82,108,105,91,19,454,57,49,46,33,65,31,0,280,3,7,0,6,0,0,3,25,404,539,622,717,760,320,47,3418
405031120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,42,45,79,62,20,285,34,14,23,18,25,9,0,119,3,0,0,0,0,4,0,15,206,250,287,322,409,171,48,1695
405031121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,33,44,99,71,14,286,28,18,21,22,40,15,0,155,0,0,0,0,4,0,5,17,163,190,249,302,422,203,40,1569
405031122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,17,7,3,0,0,4,0,0,17,4,19,20,37,34,12,4,124,167,146,112,113,130,29,0,701,14,0,10,9,6,7,5,54,1032,1190,1028,1307,1124,229,27,5943
405031123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,29,32,25,7,128,19,3,10,14,14,5,0,70,5,0,0,0,3,0,0,5,112,118,161,153,190,72,9,820
405041124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,11,28,34,41,19,5,134,61,36,39,39,54,14,3,245,7,7,5,0,7,6,3,27,388,447,471,547,494,130,16,2499
405041125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,28,36,24,4,115,37,13,10,22,22,10,0,118,6,3,0,0,0,0,0,9,166,144,136,226,236,91,10,999
405041126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16,18,33,13,6,95,35,26,23,27,39,7,0,158,0,0,0,9,0,0,5,11,147,173,187,211,257,79,10,1073
405041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,61,83,113,60,27,389,49,39,35,39,64,26,3,251,3,3,0,3,8,7,0,29,255,400,468,524,658,257,61,2625
405041128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,20,32,41,44,10,166,21,16,21,30,35,4,4,136,3,0,0,0,0,0,4,17,145,177,196,234,264,99,26,1143
406011129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,10,14,21,13,12,0,72,19,32,11,15,28,10,0,123,0,4,0,3,0,3,0,16,165,272,228,291,256,79,11,1300
406011130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,9,31,81,86,90,60,26,388,33,26,28,34,42,11,4,175,7,3,7,0,0,4,6,24,270,372,455,521,462,188,60,2325
