POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
109011172,8,17,0,3,27,4332,2135,305,97,6864
109011173,3,3,0,0,8,1223,708,87,31,2053
109011174,14,41,3,8,66,7615,5377,632,218,13836
109011175,38,38,9,9,102,2285,1188,138,70,3682
109011176,9,5,0,0,12,2672,1877,181,78,4815
109021177,12,10,0,0,23,762,396,36,41,1233
109021178,9,11,3,7,27,1432,704,108,56,2305
109021179,6,8,6,0,21,1292,426,72,45,1833
109031180,3,13,0,0,17,1514,878,111,40,2548
109031181,22,28,5,10,58,1855,829,156,55,2898
109031182,16,24,0,6,36,1764,1110,134,65,3076
109031183,51,39,5,6,101,1869,850,142,64,2924
109031184,4,19,0,0,28,1086,852,129,36,2102
109031185,24,30,4,8,73,1860,1152,155,80,3241
110011186,26,65,7,12,109,6734,4275,563,186,11755
110011187,30,30,5,3,72,1151,566,72,44,1833
110011188,9,37,0,4,49,787,510,50,25,1367
110011189,21,31,0,4,57,877,435,32,29,1378
110021190,43,28,5,8,86,1809,1176,157,86,3233
110021191,15,41,9,8,67,3276,1894,208,130,5509
110021192,32,23,4,7,74,732,350,41,45,1167
110021193,36,27,8,10,77,1113,545,47,43,1751
110021194,37,47,0,3,86,1191,784,107,61,2151
110031195,10,20,0,8,37,2373,1007,151,88,3627
110031196,37,11,0,5,59,1459,369,63,47,1945
110031197,3,11,0,0,11,1892,959,135,71,3059
110031198,28,21,0,0,51,1630,481,73,69,2248
110041199,11,15,3,0,28,2543,1367,188,83,4181
110041200,20,23,5,3,47,1901,412,115,60,2482
110041201,20,28,0,8,54,1742,776,92,70,2683
110041202,5,32,8,3,45,3036,2136,209,81,5464
110041203,15,47,9,12,89,7218,4306,593,167,12281
110041204,0,14,0,3,25,4531,1028,195,106,5860
110041205,51,40,5,13,108,2205,1240,130,91,3666
111011206,4,9,5,3,24,3600,3042,445,100,7190
111011207,0,0,0,0,6,330,345,53,13,742
111011208,9,26,5,0,50,6336,5342,887,156,12724
111011209,3,47,0,0,56,6484,4190,571,130,11372
111011210,0,7,0,0,9,723,991,97,20,1827
