POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
205051099,0,0,0,0,0,0,0,0,0,0
205051100,98,15,23,49,64,38,39,0,7,333
205051101,126,13,25,25,40,67,102,0,6,406
205051102,69,12,14,6,24,29,40,0,6,205
205051103,284,43,58,81,164,145,135,4,13,928
205051104,69,5,11,13,22,20,21,0,10,166
206011106,239,52,65,89,155,185,287,0,11,1091
206011107,165,28,42,56,107,109,152,3,8,666
206011109,141,23,39,26,74,67,101,0,3,479
206011495,455,94,109,159,231,261,352,4,16,1688
206011496,663,143,180,236,462,496,697,30,35,2952
206011497,594,148,185,213,357,312,422,9,20,2261
206011498,198,41,43,64,147,128,129,6,7,762
206021110,387,78,107,188,240,242,282,0,21,1541
206021112,521,110,112,150,295,315,361,0,15,1883
206021499,274,62,69,105,178,217,199,0,16,1119
206021500,237,61,82,95,142,176,252,4,23,1076
206031113,206,49,44,77,134,144,199,5,12,859
206031115,278,77,93,112,210,212,253,3,15,1249
206031116,716,153,179,262,464,376,488,5,39,2672
206031501,294,46,76,105,177,164,226,6,16,1112
206031502,292,42,71,89,174,176,254,0,16,1123
206041117,1354,417,519,730,1147,1376,1956,41,70,7608
206041118,6402,2158,3085,5009,7174,7504,8165,155,262,39906
206041119,1727,431,531,810,1123,1164,1198,25,56,7052
206041120,73,10,21,32,63,75,67,0,9,355
206041121,412,129,131,233,308,329,404,7,17,1979
206041124,2640,779,1044,1533,2368,2331,2345,106,99,13249
206041125,1447,425,617,898,1506,1651,1997,32,65,8640
206041127,363,78,91,155,340,225,246,6,23,1532
206041503,7941,2404,3528,5651,7901,8434,9956,202,372,46391
206041504,1847,601,861,1391,2101,2346,3225,49,106,12525
206041505,7946,2489,3725,5655,8602,9601,11179,208,418,49826
206041506,903,202,328,450,684,828,1045,17,47,4502
206041507,33,3,7,7,18,14,13,0,0,100
206041508,2009,685,1065,1627,2568,2537,2981,54,108,13630
206041509,800,202,333,506,778,857,1226,27,51,4782
206041510,380,102,149,250,354,397,552,13,16,2217
206051128,1043,295,489,770,1178,1200,1605,43,50,6668
206051129,216,47,58,102,158,179,216,0,11,980
206051130,327,78,101,142,258,309,431,4,16,1670
206051134,287,79,89,127,227,225,432,7,21,1500
206051511,2291,659,818,1275,2190,2130,2771,41,114,12298
206051512,1432,452,590,866,1471,1668,2217,40,69,8800
206051513,485,107,151,199,326,357,564,12,10,2202
206051514,622,175,236,416,673,827,1211,21,36,4214
206061135,559,134,187,253,398,403,546,13,28,2517
206061136,707,191,275,446,647,783,1185,24,49,4299
206061138,450,77,109,173,249,234,325,6,20,1652
206061515,423,136,186,259,513,547,783,23,22,2878
206061516,421,120,177,224,414,523,845,15,28,2770
206071139,820,230,305,469,685,729,849,15,33,4142
206071140,184,37,54,45,98,100,127,7,9,666
206071141,882,267,332,494,837,1021,1197,27,52,5130
206071142,1130,305,423,627,909,1004,1225,34,70,5730
206071143,309,68,95,125,249,267,347,8,22,1486
206071145,329,60,99,120,244,249,292,3,18,1420
206071517,1629,461,720,1168,1821,2278,2613,65,111,10865
206071518,1202,343,429,693,1088,1006,1281,23,55,6114
207011146,189,39,60,104,131,133,155,0,9,822
207011147,461,123,148,242,370,314,388,3,36,2081
207011148,450,89,120,211,217,222,256,5,16,1595
207011149,791,198,289,403,662,678,763,6,35,3812
207011150,668,172,249,356,499,604,612,14,34,3209
207011152,914,240,330,528,759,790,821,14,40,4438
207011154,241,39,56,99,143,148,157,0,8,889
207011155,554,105,187,262,415,343,431,7,19,2323
207011519,502,135,231,324,497,541,691,12,21,2964
